@relation cpu-weka.filters.unsupervised.attribute.AddID-Cfirst-NID

@attribute ID numeric
@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric

@data

1,125,256,6000,256,16,128,198
2,29,8000,32000,32,8,32,269
3,29,8000,32000,32,8,32,220
4,29,8000,32000,32,8,32,172
5,29,8000,16000,32,8,16,132
6,26,8000,32000,64,8,32,318
7,23,16000,32000,64,16,32,367
8,23,16000,32000,64,16,32,489
9,23,16000,64000,64,16,32,636
10,23,32000,64000,128,32,64,1144
11,400,1000,3000,0,1,2,38
12,400,512,3500,4,1,6,40
13,60,2000,8000,65,1,8,92
14,50,4000,16000,65,1,8,138
15,350,64,64,0,1,4,10
16,200,512,16000,0,4,32,35
17,167,524,2000,8,4,15,19
18,143,512,5000,0,7,32,28
19,143,1000,2000,0,5,16,31
20,110,5000,5000,142,8,64,120
21,143,1500,6300,0,5,32,30
22,143,3100,6200,0,5,20,33
23,143,2300,6200,0,6,64,61
24,110,3100,6200,0,6,64,76
25,320,128,6000,0,1,12,23
26,320,512,2000,4,1,3,69
27,320,256,6000,0,1,6,33
28,320,256,3000,4,1,3,27
29,320,512,5000,4,1,5,77
30,320,256,5000,4,1,6,27
31,25,1310,2620,131,12,24,274
32,25,1310,2620,131,12,24,368
33,50,2620,10480,30,12,24,32
34,50,2620,10480,30,12,24,63
35,56,5240,20970,30,12,24,106
36,64,5240,20970,30,12,24,208
37,50,500,2000,8,1,4,20
38,50,1000,4000,8,1,5,29
39,50,2000,8000,8,1,5,71
40,50,1000,4000,8,3,5,26
41,50,1000,8000,8,3,5,36
42,50,2000,16000,8,3,5,40
43,50,2000,16000,8,3,6,52
44,50,2000,16000,8,3,6,60
45,133,1000,12000,9,3,12,72
46,133,1000,8000,9,3,12,72
47,810,512,512,8,1,1,18
48,810,1000,5000,0,1,1,20
49,320,512,8000,4,1,5,40
50,200,512,8000,8,1,8,62
51,700,384,8000,0,1,1,24
52,700,256,2000,0,1,1,24
53,140,1000,16000,16,1,3,138
54,200,1000,8000,0,1,2,36
55,110,1000,4000,16,1,2,26
56,110,1000,12000,16,1,2,60
57,220,1000,8000,16,1,2,71
58,800,256,8000,0,1,4,12
59,800,256,8000,0,1,4,14
60,800,256,8000,0,1,4,20
61,800,256,8000,0,1,4,16
62,800,256,8000,0,1,4,22
63,125,512,1000,0,8,20,36
64,75,2000,8000,64,1,38,144
65,75,2000,16000,64,1,38,144
66,75,2000,16000,128,1,38,259
67,90,256,1000,0,3,10,17
68,105,256,2000,0,3,10,26
69,105,1000,4000,0,3,24,32
70,105,2000,4000,8,3,19,32
71,75,2000,8000,8,3,24,62
72,75,3000,8000,8,3,48,64
73,175,256,2000,0,3,24,22
74,300,768,3000,0,6,24,36
75,300,768,3000,6,6,24,44
76,300,768,12000,6,6,24,50
77,300,768,4500,0,1,24,45
78,300,384,12000,6,1,24,53
79,300,192,768,6,6,24,36
80,180,768,12000,6,1,31,84
81,330,1000,3000,0,2,4,16
82,300,1000,4000,8,3,64,38
83,300,1000,16000,8,2,112,38
84,330,1000,2000,0,1,2,16
85,330,1000,4000,0,3,6,22
86,140,2000,4000,0,3,6,29
87,140,2000,4000,0,4,8,40
88,140,2000,4000,8,1,20,35
89,140,2000,32000,32,1,20,134
90,140,2000,8000,32,1,54,66
91,140,2000,32000,32,1,54,141
92,140,2000,32000,32,1,54,189
93,140,2000,4000,8,1,20,22
94,57,4000,16000,1,6,12,132
95,57,4000,24000,64,12,16,237
96,26,16000,32000,64,16,24,465
97,26,16000,32000,64,8,24,465
98,26,8000,32000,0,8,24,277
99,26,8000,16000,0,8,16,185
100,480,96,512,0,1,1,6
101,203,1000,2000,0,1,5,24
102,115,512,6000,16,1,6,45
103,1100,512,1500,0,1,1,7
104,1100,768,2000,0,1,1,13
105,600,768,2000,0,1,1,16
106,400,2000,4000,0,1,1,32
107,400,4000,8000,0,1,1,32
108,900,1000,1000,0,1,2,11
109,900,512,1000,0,1,2,11
110,900,1000,4000,4,1,2,18
111,900,1000,4000,8,1,2,22
112,900,2000,4000,0,3,6,37
113,225,2000,4000,8,3,6,40
114,225,2000,4000,8,3,6,34
115,180,2000,8000,8,1,6,50
116,185,2000,16000,16,1,6,76
117,180,2000,16000,16,1,6,66
118,225,1000,4000,2,3,6,24
119,25,2000,12000,8,1,4,49
120,25,2000,12000,16,3,5,66
121,17,4000,16000,8,6,12,100
122,17,4000,16000,32,6,12,133
123,1500,768,1000,0,0,0,12
124,1500,768,2000,0,0,0,18
125,800,768,2000,0,0,0,20
126,50,2000,4000,0,3,6,27
127,50,2000,8000,8,3,6,45
128,50,2000,8000,8,1,6,56
129,50,2000,16000,24,1,6,70
130,50,2000,16000,24,1,6,80
131,50,8000,16000,48,1,10,136
132,100,1000,8000,0,2,6,16
133,100,1000,8000,24,2,6,26
134,100,1000,8000,24,3,6,32
135,50,2000,16000,12,3,16,45
136,50,2000,16000,24,6,16,54
137,50,2000,16000,24,6,16,65
138,150,512,4000,0,8,128,30
139,115,2000,8000,16,1,3,50
140,115,2000,4000,2,1,5,40
141,92,2000,8000,32,1,6,62
142,92,2000,8000,32,1,6,60
143,92,2000,8000,4,1,6,50
144,75,4000,16000,16,1,6,66
145,60,4000,16000,32,1,6,86
146,60,2000,16000,64,5,8,74
147,60,4000,16000,64,5,8,93
148,50,4000,16000,64,5,10,111
149,72,4000,16000,64,8,16,143
150,72,2000,8000,16,6,8,105
151,40,8000,16000,32,8,16,214
152,40,8000,32000,64,8,24,277
153,35,8000,32000,64,8,24,370
154,38,16000,32000,128,16,32,510
155,48,4000,24000,32,8,24,214
156,38,8000,32000,64,8,24,326
157,30,16000,32000,256,16,24,510
158,112,1000,1000,0,1,4,8
159,84,1000,2000,0,1,6,12
160,56,1000,4000,0,1,6,17
161,56,2000,6000,0,1,8,21
162,56,2000,8000,0,1,8,24
163,56,4000,8000,0,1,8,34
164,56,4000,12000,0,1,8,42
165,56,4000,16000,0,1,8,46
166,38,4000,8000,32,16,32,51
167,38,4000,8000,32,16,32,116
168,38,8000,16000,64,4,8,100
169,38,8000,24000,160,4,8,140
170,38,4000,16000,128,16,32,212
171,200,1000,2000,0,1,2,25
172,200,1000,4000,0,1,4,30
173,200,2000,8000,64,1,5,41
174,250,512,4000,0,1,7,25
175,250,512,4000,0,4,7,50
176,250,1000,16000,1,1,8,50
177,160,512,4000,2,1,5,30
178,160,512,2000,2,3,8,32
179,160,1000,4000,8,1,14,38
180,160,1000,8000,16,1,14,60
181,160,2000,8000,32,1,13,109
182,240,512,1000,8,1,3,6
183,240,512,2000,8,1,5,11
184,105,2000,4000,8,3,8,22
185,105,2000,6000,16,6,16,33
186,105,2000,8000,16,4,14,58
187,52,4000,16000,32,4,12,130
188,70,4000,12000,8,6,8,75
189,59,4000,12000,32,6,12,113
190,59,8000,16000,64,12,24,188
191,26,8000,24000,32,8,16,173
192,26,8000,32000,64,12,16,248
193,26,8000,32000,128,24,32,405
194,116,2000,8000,32,5,28,70
195,50,2000,32000,24,6,26,114
196,50,2000,32000,48,26,52,208
197,50,2000,32000,112,52,104,307
198,50,4000,32000,112,52,104,397
199,30,8000,64000,96,12,176,915
200,30,8000,64000,128,12,176,1150
201,180,262,4000,0,1,3,12
202,180,512,4000,0,1,3,14
203,180,262,4000,0,1,3,18
204,180,512,4000,0,1,3,21
205,124,1000,8000,0,1,8,42
206,98,1000,8000,32,2,8,46
207,125,2000,8000,0,2,14,52
208,480,512,8000,32,0,0,67
209,480,1000,4000,0,0,0,45
