@relation cpu-weka.filters.unsupervised.attribute.AddID-Cfirst-NID

@attribute ID numeric
@attribute vendor {adviser,amdahl,apollo,basf,bti,burroughs,c.r.d,cdc,cambex,dec,dg,formation,four-phase,gould,hp,harris,honeywell,ibm,ipl,magnuson,microdata,nas,ncr,nixdorf,perkin-elmer,prime,siemens,sperry,sratus,wang}
@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric

@data

1,adviser,125,256,6000,256,16,128,199
2,amdahl,29,8000,32000,32,8,32,253
3,amdahl,29,8000,32000,32,8,32,253
4,amdahl,29,8000,32000,32,8,32,253
5,amdahl,29,8000,16000,32,8,16,132
6,amdahl,26,8000,32000,64,8,32,290
7,amdahl,23,16000,32000,64,16,32,381
8,amdahl,23,16000,32000,64,16,32,381
9,amdahl,23,16000,64000,64,16,32,749
10,amdahl,23,32000,64000,128,32,64,1238
11,apollo,400,1000,3000,0,1,2,23
12,apollo,400,512,3500,4,1,6,24
13,basf,60,2000,8000,65,1,8,70
14,basf,50,4000,16000,65,1,8,117
15,bti,350,64,64,0,1,4,15
16,bti,200,512,16000,0,4,32,64
17,burroughs,167,524,2000,8,4,15,23
18,burroughs,143,512,5000,0,7,32,29
19,burroughs,143,1000,2000,0,5,16,22
20,burroughs,110,5000,5000,142,8,64,124
21,burroughs,143,1500,6300,0,5,32,35
22,burroughs,143,3100,6200,0,5,20,39
23,burroughs,143,2300,6200,0,6,64,40
24,burroughs,110,3100,6200,0,6,64,45
25,c.r.d,320,128,6000,0,1,12,28
26,c.r.d,320,512,2000,4,1,3,21
27,c.r.d,320,256,6000,0,1,6,28
28,c.r.d,320,256,3000,4,1,3,22
29,c.r.d,320,512,5000,4,1,5,28
30,c.r.d,320,256,5000,4,1,6,27
31,cdc,25,1310,2620,131,12,24,102
32,cdc,25,1310,2620,131,12,24,102
33,cdc,50,2620,10480,30,12,24,74
34,cdc,50,2620,10480,30,12,24,74
35,cdc,56,5240,20970,30,12,24,138
36,cdc,64,5240,20970,30,12,24,136
37,cdc,50,500,2000,8,1,4,23
38,cdc,50,1000,4000,8,1,5,29
39,cdc,50,2000,8000,8,1,5,44
40,cambex,50,1000,4000,8,3,5,30
41,cambex,50,1000,8000,8,3,5,41
42,cambex,50,2000,16000,8,3,5,74
43,cambex,50,2000,16000,8,3,6,74
44,cambex,50,2000,16000,8,3,6,74
45,dec,133,1000,12000,9,3,12,54
46,dec,133,1000,8000,9,3,12,41
47,dec,810,512,512,8,1,1,18
48,dec,810,1000,5000,0,1,1,28
49,dec,320,512,8000,4,1,5,36
50,dec,200,512,8000,8,1,8,38
51,dg,700,384,8000,0,1,1,34
52,dg,700,256,2000,0,1,1,19
53,dg,140,1000,16000,16,1,3,72
54,dg,200,1000,8000,0,1,2,36
55,dg,110,1000,4000,16,1,2,30
56,dg,110,1000,12000,16,1,2,56
57,dg,220,1000,8000,16,1,2,42
58,formation,800,256,8000,0,1,4,34
59,formation,800,256,8000,0,1,4,34
60,formation,800,256,8000,0,1,4,34
61,formation,800,256,8000,0,1,4,34
62,formation,800,256,8000,0,1,4,34
63,four-phase,125,512,1000,0,8,20,19
64,gould,75,2000,8000,64,1,38,75
65,gould,75,2000,16000,64,1,38,113
66,gould,75,2000,16000,128,1,38,157
67,hp,90,256,1000,0,3,10,18
68,hp,105,256,2000,0,3,10,20
69,hp,105,1000,4000,0,3,24,28
70,hp,105,2000,4000,8,3,19,33
71,hp,75,2000,8000,8,3,24,47
72,hp,75,3000,8000,8,3,48,54
73,hp,175,256,2000,0,3,24,20
74,harris,300,768,3000,0,6,24,23
75,harris,300,768,3000,6,6,24,25
76,harris,300,768,12000,6,6,24,52
77,harris,300,768,4500,0,1,24,27
78,harris,300,384,12000,6,1,24,50
79,harris,300,192,768,6,6,24,18
80,harris,180,768,12000,6,1,31,53
81,honeywell,330,1000,3000,0,2,4,23
82,honeywell,300,1000,4000,8,3,64,30
83,honeywell,300,1000,16000,8,2,112,73
84,honeywell,330,1000,2000,0,1,2,20
85,honeywell,330,1000,4000,0,3,6,25
86,honeywell,140,2000,4000,0,3,6,28
87,honeywell,140,2000,4000,0,4,8,29
88,honeywell,140,2000,4000,8,1,20,32
89,honeywell,140,2000,32000,32,1,20,175
90,honeywell,140,2000,8000,32,1,54,57
91,honeywell,140,2000,32000,32,1,54,181
92,honeywell,140,2000,32000,32,1,54,181
93,honeywell,140,2000,4000,8,1,20,32
94,ibm,57,4000,16000,1,6,12,82
95,ibm,57,4000,24000,64,12,16,171
96,ibm,26,16000,32000,64,16,24,361
97,ibm,26,16000,32000,64,8,24,350
98,ibm,26,8000,32000,0,8,24,220
99,ibm,26,8000,16000,0,8,16,113
100,ibm,480,96,512,0,1,1,15
101,ibm,203,1000,2000,0,1,5,21
102,ibm,115,512,6000,16,1,6,35
103,ibm,1100,512,1500,0,1,1,18
104,ibm,1100,768,2000,0,1,1,20
105,ibm,600,768,2000,0,1,1,20
106,ibm,400,2000,4000,0,1,1,28
107,ibm,400,4000,8000,0,1,1,45
108,ibm,900,1000,1000,0,1,2,18
109,ibm,900,512,1000,0,1,2,17
110,ibm,900,1000,4000,4,1,2,26
111,ibm,900,1000,4000,8,1,2,28
